Longitude,Latitude,Name,Location
-92.875,42.953,Ackley Creek County Park,Marble Rock
-93.724,41.738,Acorn Valley - Saylorville Lake,Des Moines
-94.643,41.498,Adair City Park,Adair
-92.21,43.12,Adolph Munson Park,New Hampton
-92.348,43.09,Airport Lake Park,New Hampton
-96.556,42.832,Akron City Park,Akron
-94.926,41.711,Albert the Bull CG,Audubon
-92.313,42.88,Alcock Park,Frederika
-96.005,42.998,Alton Roadside Park,Alton
-94.247,43.052,Ambrose Call State Park,Algona
-93.609,42.026,Ames Bandshell City Park,Ames
-95.131,43.366,Arnolds Park City Park,Arnolds Park
-95.59,41.432,Arrowhead Park,Neola
-93.289,41.814,Ashton Wildwood Park,Baxter
-91.968,40.768,Austin County Park,Keosauqua
-91.56,42.616,Backbone State Park,Dundee
-91.411,42.447,Baileys Ford,Manchester.
-90.953,42.56,Bankston Park,Holy Cross
-92.787,42.583,Beaver Meadows Co Park,Parkersburg
-93.236,42.768,Beeds Lake State Park,Hampton
-90.423,42.247,Bellevue State Park,Bellevue
-93.889,42.34,Bells Mills County Park,Stratford
-92.151,41.386,Belva - Deer Rec Area,Sigourney
-90.922,41.746,Bennett Park,Bennett
-91.918,42.162,Benton City  -  Fry Area,Vinton
-91.852,40.725,Bentonsport,Bentonsport
-93.386,42.526,Bessman-Kemp Co Park,Alden
-91.226,40.952,Big Hollow Creek Park,Pleasant Grove
-92.434,42.556,Big Woods Lake,Cedar Falls
-96.326,42.306,Bigelow County Park,Salix
-92.478,42.563,Black Hawk County Park,Cedar Falls
-95.017,42.292,Black Hawk State Park,Lake View
-91.212,43.044,Bloody Run County Park,Marquette
-93.685,41.701,Bob Shetler - Saylorville Lake,Des Moines
-93.398,40.708,Bobwhite State Park,Allerton
-95.363,41.396,Botna Bend County Park,Hancock
-93.04,42.236,Brekke Memorial Park,Union
-93.012,40.876,Bridgeview - Rathbun Lake,Moravia
-93.802,42.432,Briggs Woods Park,Webster City
-91.85,41.224,Brinton Timber,Brighton
-96.326,42.306,Browns Lake  -  Bigelow Park,Salix
-96.326,42.306,Browns Lake Bigelow Park,Salix
-93.983,42.394,Brushy Creek  State Rec Area,Lehigh
-92.869,40.85,Buck Creek - Rathbun Lake,Moravia
-91.209,42.879,Buck Creek County Park,
