Longitude,Latitude,Name,Location
-73.098,41.651,Black Rock State Park,Thomaston
-72.342,41.484,Devils Hopyard State Park,East Haddam
-71.811,41.534,Green Falls - Pachaug State Forest,
-72.556,41.265,Hammonasset State Park,Madison
-73.004,41.935,Haws Memorial - American Legion State Forest,Barkhamsted
-71.926,41.602,Hopeville Pond State Park,Griswold
-73.377,41.823,Housatonic Meadows State Park,Sharon
-73.205,41.421,Kettletown State Park,Southbury
-73.384,41.709,Lake Waramaug State Park,Kent
-73.494,41.777,Macedonia Brook State Park,Kent
-71.985,41.859,Mashamoquet Brook State Park,Pomfret Center
-71.869,41.593,Mount Misery - Pachaug State Forest,Voluntown
-73.224,41.71,Point Folly - White Memorial,Bantam
-72.243,41.31,Rocky Neck State Park,Niantic
-72.093,41.651,Salt Rock State Park,Baltic
-71.894,41.954,West Thompson Lake,
-73.216,41.727,Windmill Hill - White Memorial,Litchfield
-71.971,41.852,Wolf Den - Mashamoquet Brook State Park,Pomfret Center
-75.117,38.78,Cape Henlopen State Park,Lewes
-75.066,38.606,Delaware Seashore State Park,Rehoboth Beach
-75.457,39.114,Dover AFB Military,Dover
-75.534,38.979,Killens Pond State Park,Felton
-75.718,39.548,Lums Pond State Park,Kirkwood
-75.6,38.645,Soroptimist Park,Seaford
-75.476,38.53,Trap Pond State Park,Laurel
-72.533,42.608,Barton Cove,Gill
-73.292,42.205,Beartown State Forest,Monterey
-70.593,41.751,Bourne Scenic City Park,Bourne
-72.934,42.254,Chester - Blanford State Forest,Chester
-73.076,42.734,Clarksburg State Park,Clarksburg
-72.791,42.456,DAR State Forest,Ashfield
-72.408,42.607,Erving State Forest,Erving
-70.706,42.161,Fourth Cliff Military,Marshfield
-72.969,42.053,Granville State Forest,Granville
-71.28,42.473,Hanscom AFB Military,Bedford
-71.091,42.611,Harold Parker State Forest,Andover
-73.092,42.684,Historic Valley,North Adams
-71.041,41.5,Horseneck Beach State Reservation,Westport
-72.083,42.648,Lake Dennison State Park,Winchendon
-70.985,41.87,Massasoit State Park,East Taunton
-72.941,42.642,Mohawk Trail State Forest,Charlemont
-73.188,42.632,Mt. Greylock State Reservation,Williamstown
-70.667,41.867,Myles Standish State Forest,Plymouth
-70.033,41.764,Nickerson State Forest Park,Brewster
-73.234,42.336,October Mountain State Forest,
-72.078,42.626,Otter River State Forest,Baldwinville
-71.758,42.655,Pearl Hill State Park,West Townsend
-73.32,42.504,Pittsfield State Forest,Hancock
-70.823,42.842,Salisbury Beach State Reservation,Salisbury
-73.047,42.647,Savoy Mountain State Forest,Florida
-70.506,41.778,Scusset Beach State Park,Sandwich
-70.514,41.756,Shawme Crowell State Forest,Sandwich
-73.05,42.145,Tolland State Forest,Otis
-72.21,42.65,Tully Lake,Royalston
-70.571,41.672,USCG Cape Cod RV,Buzzards Bay
-72.042,42.141,Wells State Park,Sturbridge
-72.554,42.19,Westover ARB Military,
-71.79,42.66,Willard Brook State Forest,Townsend
-72.986,42.554,Windsor State Forest,Williamsburg
-70.869,42.531,Winter Island Park,Salem
-70.846,42.2,Wompatuck State Park,Hingham
-76.159,39.485,Aberdeen Proving Ground RV Park,Aberdeen
-76.882,38.785,Andrews AFB Military,Clinton
-76.472,38.99,Annapolis Military,Annapolis
-75.144,38.229,Assateague State Park,
-75.162,38.208,Bayside - Assateague National Seashore,Berlin
-79.14,39.545,Big Run State Park,Grantsville
-76.514,38.618,Breezy Point Beach,Chesapeak Beac
-77.613,39.307,Brunswick City Campground,Brunswick
-76.731,39.095,Camp Meade RV Military,Fort Meade
-76.818,38.647,Cedarville State Forest,Brandywine
-79.31,39.516,Deep Creek Lake State Park,Swanton
-75.985,39.48,Elk Neck State Park,North East
-78.385,39.625,Fifteen Mile Creek - C and O Canal National Park,Pratt
-78.008,39.604,Fort Frederick State Park,Big Pool
-77.492,39.459,Gambrill State Park,Frederick
-76.384,38.289,Goose Creek Military,Patuxent River
-78.457,39.657,Green Ridge State Forest - Dispersed,Flintstone
-76.895,38.996,Greenbelt Park,Greenbelt
-77.617,39.536,Greenbrier State Park,Boonsboro
-76.745,39.244,Hilton - Patapsco Valley State Park,Catonsville
-76.787,39.295,Hollofield - Patapsco Valley State Park,Ellicott City
-77.466,39.619,Houck Area - Cunningham Falls State Park,Thurmont
-75.847,38.011,Janes Island State Park,Crisfield
-77.291,39.247,Little Bennett Regional Park,Clarksburg
-79.272,39.378,Lost Land Run  - Potomac State Forest,Oakland
-76.912,38.737,Louise F. Cosca Regional Park,Clinton
-77.436,39.582,Manor Area - Cunningham Falls State Park,Thurmont
-75.837,38.865,Martinak State Park,Denton
-77.969,39.608,McCoys Ferry - C and O Canal National Park,Williamsport
-75.491,38.128,Milburn Landing - Pocomoke State Park,Pocomoke City
-79.386,39.717,Mill Run - Youghiogheny River Lake,Friendsville
-79.129,39.631,New Germany State Park,Grantsville
-75.156,38.198,Oceanside - Assateague National Seashore,Berlin
-77.488,39.653,Owens Creek - Catoctin Mountain National Park,Sabillasville
-76.331,38.063,Point Lookout State Park,Scotland
-78.651,39.696,Rocky Gap State Park,Flintstone
-79.148,39.619,Savage River State Forest,Grantsville
-75.439,38.134,Shad  Landing - Pocomoke State Park,Snow Hill
-76.28,39.408,Skippers Point Military,Gunpowder
-77.181,38.554,Smallwood State Park,Marbury
-76.467,38.34,Solomons Navy Military,Solomons Islan
-78.718,39.564,Spring Gap - C and O Canal National Park,Cumberland
-76.165,39.612,Susquehanna State Park,Havre de Grace
-79.422,39.499,Swallow Falls State Park,Oakland
-75.932,38.981,Tuckahoe State Park,Queen Anne
-79.269,39.346,Wallman/Laurel Run - Potomac State Forest,Oakland
-68.962,45.874,Abol - Baxter State Park,Millinocket
-68.003,46.61,Aroostook State Park,Presque Isle
-71.022,44.268,Basin,Gilead
-68.214,44.313,Blackwoods - Acadia National Park,Bar Harbor
-70.179,43.9,Bradbury Mountain State Park,Pownal
-69.047,44.23,Camden Hills State Park,Camden
-67.153,44.854,Cobscook Bay State Park,Dennysville
-71.013,44.265,Cold River,Fryeburg
-70.824,44.31,Crocker Pond,Bethel
-68.282,44.953,Great Pond Military,Great Pond
-70.984,44.352,Hastings,Gilead
-69.997,45.887,Katahdin Stream - Baxter State Park,Seboomook Lake
-69.348,44.398,Lake St. George State Park,Liberty
-68.298,44.456,Lamoine State Park,Trenton
-69.542,45.569,Lily Bay State Park,Greenville
-68.264,45.524,Mattawamkeag Wilderness Park,Lincoln
-67.859,44.485,McClellan City Park,Columbia Falls
-70.448,44.681,Mount Blue State Park,Weld
-69.078,45.976,Nesowadnehunk Field - Baxter State Park,Millinocket
-69.289,45.26,Peaks - Kenny State Park,Dover-Foxcroft
-70.72,44.939,Rangeley Lake State Park,Rangeley
-67.132,44.882,Reversing Falls Park,Pembroke
-68.593,47.255,Riverside Park,Fort Kent
-68.859,45.92,Roaring Brook - Baxter State Park,Millinocket
-70.68,44.05,Salmon Point City Campground,Bridgton
-68.306,44.241,Seawall - Acadia National Park,Southwest Harb
-70.546,43.942,Sebago Lake State Park,Casco
-68.9,46.109,South Branch Pond - Baxter State Park,Millinocket
-70.982,44.036,Swans Falls Campground,Fryeburg
-68.854,46.167,Trout Brook Farm - Baxter State Park,Millinocket
-71.063,44.306,Wild River,Gilead
-70.113,43.804,Winslow City Park,Freeport
-71.021,44.269,Basin,Gilead
-71.331,43.115,Bear Brook State Park,Allenstown
-71.561,44.049,Big Rock,Lincoln
-71.245,44.007,Blackberry Crossing,Conway
-71.63,43.871,Campton,Campton
-71.696,44.177,Cannon Mountain RV Park,Franconia
-71.884,43.651,Cardigan Campsites,Alexandria
-71.013,44.265,Cold River,North Chatham
-71.328,44.944,Coleman State Park,Stewartstown
-71.232,44.003,Covered Bridge,Conway
-71.191,45.191,Deer Mountain,Pittsburg
-71.219,44.333,Dolly Copp,Gorham
-71.4,44.178,Dry River - Crawford Notch State Park,Harts Location
-71.355,43.574,Ellacoya State Beach and RV Park,Gilford
-71.887,42.958,Greenfield State Park,Greenfield
-71.365,43.546,Gunstock Area,Gilford
-70.816,42.899,Hampton Beach State Park,Hampton
-71.594,44.064,Hancock,Lincoln
-71.556,44.25,Haystack Road,Twin Mountain
-71.334,43.998,Jigger Johnson,Conway
-71.685,44.139,Lafayette - Franconia Notch State Park,Franconia Notch
-71.302,45.06,Lake Francis State Park,Pittsburg
-71.224,44.572,Milan Hill State Park,Milan
-71.144,44.738,Mollidgewock State Park,Errol
-72.074,42.844,Monadnock State Park,Jaffrey
-71.231,44.4,Moose Brook State Park,Gorham
-72.063,43.321,Mount Sunapee,Newbury
-71.622,42.948,New Boston Military,New Boston
-71.371,43.998,Passaconaway,Conway
-71.173,43.08,Pawtuckaway State Park,Nottingham
-72.116,43.234,Pillsbury State Park,Washington
-71.649,44.009,Russell Pond,Lincoln
-72.261,43.72,Storrs Pond Rec Area,Hanover
-71.505,44.26,Sugarloaf 1,Twin Mountain
-71.504,44.258,Sugarloaf 2,Twin Mountain
-71.636,43.995,Tripoli Rd,Campton
-71.05,44.704,Umbagog Lake,Cambridge
-71.509,43.942,Waterville,Waterville Valley
-72.305,42.94,Wheelock Park Campground,Keene
-71.225,43.845,White Lake State Park,Tamworth
-71.214,43.954,White Ledge,Conway
-71.065,44.305,Wild River,Gilead
-71.794,44.075,Wildwood,North Woodstock
-71.501,44.265,Zealand,Twin Mountain
-74.131,40.162,Allaire State Park,Farmingdale
-74.734,39.743,Atsion - Wharton State Forest,Shamong
-74.434,39.624,Bass River State Forest,Tuckerton
-74.849,39.243,Belleplain State Forest,Woodbine
-74.558,39.37,Birch Grove,Northfield
-74.522,39.872,Brendan Byrne State Forest,Vincentown
-75.038,40.41,Bulls Island State Park,Stockton
-74.266,40.446,Cheesequake State Park,South Amboy
-74.157,40.264,Earle RV Military,Colts Neck
-74.547,39.69,Godfrey Bridge - Wharton State Forest,Chatsworth
-74.689,41.291,High Point State Park - Sawmill Area,Sussex
-74.915,40.917,Jenny Jump State Forest,Blairstown
-74.59,41.002,Mahlon Dickerson Reservation,Lake Hopatcong
-75,41.027,Mohican Walk-In Campsites,Blairstown
-74.762,41.227,Ocquittunk - Stokes State Forest,Branchville
-75.139,39.509,Parvin State Park,Pittsgrove Twp.
-74.552,40.001,Range 14 Camp Military - Ft Dix,Browns Mills
-73.991,40.45,Sandy Hook - Gateway National Rec Area,Highlands
-74.795,41.198,Shotwell - Stokes State Forest,Sandyston
-74.939,40.663,Spruce Run Recreation Area,Clinton
-74.81,40.872,Stephens State Park,Hackettstown
-74.82,41.076,Swartswood State Park,Newton
-74.298,40.197,Turkey Swamp,Freehold
-74.887,40.696,Voorhees State Park,Glen Gardner
-74.611,40.011,Willow Pond Camp Military - Ft Dix,Fort Dix
-75.104,41.005,Worthington State Forest,Columbia
-73.423,44.568,Ausable Point  - DEC,Peru
-76.807,42.485,Backbone Horse Camp,Burdett
-73.449,40.762,Battle Row,Old Bethpage
-75.069,42.118,Bear Spring Mountain - DEC,Walton
-74.07,41.229,Beaver Pond - Harriman State Park,Stony Point
-74.839,41.979,Beaverkill - DEC,Roscoe
-73.925,41.27,Blue Mountain Reservation,Peekskill
-76.799,42.484,Blueberry Patch,Burdett
-73.222,40.825,Blydenburgh Park,Smithtown
-75.68,42.522,Bowman Lake State Park,Oxford
-74.118,44.505,Buck Pond - DEC,Gabriels
-76.265,44.163,Burnham Point State Park,Cape Vincent
-76.521,42.416,Buttermilk Falls State Park,Ithaca
-78.846,42.037,Cain Hollow (Quaker Area) - Allegany State Park,Salamanca
-74.468,43.125,Caroga Lake - DEC,Johnstown
-72.943,40.87,Cathedral Pines County Park,Middle Island
-76.753,42.896,Cayuga Lake State Park,Seneca Falls
-76.197,44.204,Cedar Point State Park,Clayton
-72.226,41.028,Cedar Point Suffolk County Park,East Hampton
-75.818,42.215,Chenango Valley State Park,Chenango Forks
-73.41,42.622,Cherry Plain State Park,Cherry Plain
-73.831,41.461,Clarence Fahnestock State Park,Carmel
-76.86,42.384,Clute Memorial Park,Watkins Glen
-75.14,44.892,Coles Creek State Park,Waddington
-75.743,42.3,Cook County Park,Greene
-73.52,42.121,Copake Falls - Taconic State Park,Copake Falls
-74.821,44.197,Cranberry Lake  - DEC,Cranberry Lake
-73.896,41.178,Croton Point Park,Croton-on-Huds
-73.425,44.025,Crown Point - DEC,Crown Point
-73.426,44.725,Cumberland Bay State Park,Plattsburg
-72.738,40.771,Cupsogue County Park,Westhampton
-78.433,42.902,Darien Lakes State Park,Darien Center
-75.417,43.292,Delta Lake State Park,Rome
-74.208,42.151,Devils Tombstone - DEC,Lanesville
-75.997,44.33,DeWolf Point State Park,Fineview
-73.793,43.748,Eagle Point - DEC,Pottersville
-75.223,42.327,East Sidney Dam Rec Area,Sidney
-75.477,44.63,Eel Weir State Park,Ogdensburg
-74.712,43.763,Eighth Lake - DEC,Inlet
-79.115,42.602,Evangola State Park,Irving
-76.689,43.343,Fair Haven Beach State Park,Fair Haven
-76.42,42.7,Fillmore Glen State Park,Moravia
-74.365,44.308,Fish Creek Pond - DEC,Tupper Lake
-73.889,40.582,Floyd Bennett Field - Gateway National Rec Area,Brooklyn
-74.525,43.905,Forked Lake - DEC,Long Lake
-74.059,40.605,Fort Wadsworth - Gateway National Rec Area,Staten Island
-78.995,43.274,Four Mile Creek State Park,Youngstown
-75.128,42.573,Gilbert Lake State Park,Laurens
