Longitude,Latitude,Name,Location
-85.214,32.977,Amity,Lanett
-85.963,33.621,Anniston Army Depot RV Military,Anniston
-87.924,34.427,Bear Creek Lakes,Russellville
-87.966,34.448,Bear Creek Lakes,Hodges
-87.422,31.806,Bells Landing,Camden
-87.877,32.552,Belmont Park,Belmont
-85.56,33.72,Big Oak Gap Hunter Camp,Heflin
-88.196,31.738,Bladon Springs State Park,Bladon Springs
-87.902,30.714,Blakeley State Park,Spanish Fort
-87.38,33.437,Blue Creek,Windham Spring
-85.507,31.661,Blue Springs State Park,Clio
-85.014,32.186,Bluff Creek,Pittsview
-86.948,33.04,Brierfield Ironworks Historical Park,Montevallo
-87.272,34.298,Brushy Lake,Moulton
-86.051,34.472,Bucks Pocket State Park,Grove Oak
-87.349,33.45,Burchfield Branch Park,Adger
-85.218,32.957,Burnt Village,Lanett
-86.23,34.572,Cathedral Caverns State Park,Woodville
-85.031,31.003,Chattahoochee Park,Gordon
-85.808,33.477,Cheaha State Park,Delta
-85.48,32.554,Chewacla State Park,Auburn
-88.108,30.779,Chickasabogue Park,Mobile
-87.78,32.363,Chickasaw State Park,Gallion
-87.274,32.141,Chilatchee Creek,Alberta
-88.319,31.064,Citronelle Lakeview RV Park,Citronelle
-87.26,34.02,Clear Creek,Jasper
-88.27,33.084,Cochrane,Aliceville
-88.085,34.854,Colbert County Rose Trail Park,Cherokee
-85.558,33.785,Coleman Lake Rec Area,Jacksonville
-87.32,34.1,Corinth,Double Springs
-87.556,31.615,Damsite West Bank,Gosport
-88.079,30.25,Dauphin Island City Park,Dauphin Island
-85.618,34.501,De Soto State Park,Fort Payne
-87.435,33.257,Deerlick,Tuscaloosa
-85.807,34.577,Dekalb County Public Lake,Sylvania
-86.558,34.575,Ditto Landing City Campground,Huntsville
-87.389,32.116,East Bank/Millers Ferry,Camden
-86.684,34.588,Easter Posey MWR Military - Redstone Arsenal,Valhermoso Springs
-87.966,34.448,Elliot Branch - Bear Creek  Auth,Hodges
-87.115,32.164,Elm Bluff - William Dannelly Reservoir,Camden
-85.716,31.409,Engineer Beach RV Military - Fort Rucker,Ozark
-86.318,30.998,Florala State Park,Florala
-87.879,32.634,Forkland/McConnico Creek,Demopolis
-86.252,32.508,Fort Toulouse/Jackson Park,Montgomery
