Longitude,Latitude,Name,Location
-110.861,32.18,Agave Gulch Military,
-113.579,34.231,Alamo Lake State Park,Wenden
-109.153,33.895,Alpine Divide,Alpine
-112.561,34.589,Alto Pit,Prescott
-110.366,31.56,Apache Flats Military -  Fort Huachuca,Sierra Vista
-109.819,32.649,Arcadia,Safford
-111.409,35.018,Ashurst Lake,Flagstaff
-110.946,34.327,Aspen,Payson
-109.314,33.807,Aspen,
-111.204,33.714,Bachelors Cove,Roosevelt
-111.639,33.84,Bartlett Flat,Carefree
-109.307,31.781,Bathtub,Elfrida
-111.714,34.67,Beaver Creek,Camp Verde
-109.449,34.044,Benny Creek,Eagar
-111.226,33.746,Bermuda Flat,Roosevelt
-110.743,34.305,Black Canyon Rim,Forest Lakes
-109.08,33.057,Black Jack,Clifton
-111.201,34.591,Blue Ridge,Winslow
-110.876,31.727,Bog Springs,Green Valley
-109.355,32.011,Bonita Canyon - Chiricahua National Monument,Willcox
-109.576,33.065,Bonito,
-111.556,35.372,Bonito - Sunset Crater National Monument,Flagstaff
-111.75,34.969,Bootlegger,Sedona
-109.918,34.071,Bootlegger,
-114.02,33.928,Bouse Community Park,Bouse
-111.66,33.74,Box Bar,Scottsdale
-109.413,33.876,Brookchar,Eagar
-112.642,33.277,Buckeye Hills Co Park,Buckeye
-114.161,34.254,Buckskin State Park,Parker
-109.355,33.768,Buffalo Crossing,Alpine
-111.203,33.626,Burnt Corral,Roosevelt
-113.45,34.538,Burro Creek,Wikieup
-109.37,31.758,Camp Rucker,Douglas
-110.823,34.32,Canyon Point,
-111.599,35.125,Canyon Vista,Flagstaff
-110.938,32.416,Catalina State Park,Tucson
-114.171,34.354,Cattail Cove State Park,Lake Havasu City
-112.015,33.824,Cave Creek Rec Area,Cave Creek
-111.74,34.996,Cave Springs,
-111.865,33.971,CCC,Carefree
-113.561,33.789,Centennial Park,Wenden
-110.841,34.509,Chevelon Canyon Lake,Heber
-110.788,34.591,Chevelon Crossing,Heber
-111.702,34.353,Childs,
-111.203,33.732,Cholla,Roosevelt
-111.205,33.719,Cholla Bay,Roosevelt
-111.035,34.308,Christopher Creek,Payson
-111.765,34.515,Clear Creek,Camp Verde
-111.315,34.555,Clints Well,Happy Jack
-109.06,33.103,Coal Creek,Clifton
-109.967,31.922,Cochise Stronghold,Sunsites
-112.711,33.981,Constellation Park,Wickenburg
-111.646,33.547,Coon Bluff,Mesa
-114.9,33.448,Coon Hollow Dispersed  LTVA - Mule Mountain,Quartzite
-109.539,36.148,Cottonwood - Canyon de Chelly National Monument,Chinle
-111.253,33.577,Crabtree Wash,Apache Junction
-110.942,34.318,Crook,Forest Lakes
-114.215,34.214,Crossroads,Lake Havasu Ci
-109.891,32.68,Cunningham,Safford
-109.418,33.872,Cutthroat,Eagar
-109.313,31.774,Cypress Park,Douglas
-111.485,34.956,Dairy Springs,Mormon Lake
-112.83,32.35,Darby Wells Rd Dispersed,Ajo
-114.563,35.183,Davis Camp - Mohave County,Bullhead City
-111.222,33.594,Davis Wash,Apache Junction
-112.135,36.412,De Motte,Jacob Lake
-112.019,34.754,Dead Horse Ranch State Park,Cottonwood
-109.32,33.804,Deer Creek,Alpine
-112.827,32.436,Dennison Campground - Ajo Regional Park,Ajo
-114.445,32.863,Desert Breeze Military - Yuma PG,Yuma
-111.823,36.039,Desert View - Grand Canyon National Park,Grand Canyon
-109.3,33.819,Diamond Rock,Alpine
-112.126,35.213,Dogtown Lake,Williams
-111.493,34.943,Double Springs,Flagstaff
-109.539,33.821,Drift Fence Lake,Greer
-112.376,33.385,Estrella Mountain Regional Park,Goodyear
-110.938,33.824,Falls,Young
-111.29,34.343,First Crossing,Payson
-111.352,34.303,Flowing Springs,Payson
-110.073,34.266,Fool Hollow State Rec Area,Show Low
-111.398,35.023,Forked Pine,Flagstaff
-111.693,35.142,Fort Tuthill County Park,Flagstaff
-111.693,35.139,Fort Tuthill Military - Luke AFB,Flagstaff
-114.453,32.724,Fortuna Pond,Yuma
-110.342,32.833,Fourmile Canyon,Klondyke
-109.487,33.929,Gabaldon,Eager
