Longitude,Latitude,Name,Location
-146.343,61.086,Allison Point,Valdez
-151.865,59.768,Anchor River State Rec Area,Anchor Point
-150.81,66.566,Arctic Circle - Dalton Hwy,
-134.737,58.381,Auk Village,Juneau
-149.256,60.751,Bertha Creek,Hope
-149.849,61.543,Big Lake North State Rec Area,Wasilla
-150.702,60.516,Bings Landing State Rec Area,Sterling
-146.641,64.319,Birch Lake State Rec Area,Salcha
-149.464,60.973,Bird Creek - Chugach State Park,Anchorage
-148.909,60.794,Black Bear,Girdwood
-132.823,56.615,Blind Slough,Petersburg
-145.686,61.121,Blueberry Lake State Rec Area,Valdez
-148.055,63.294,Brushkana Creek,Cantwell
-152.478,57.763,Buskin River State Rec Area,Kodiak
-150.115,62.747,Byers Lake - Denali State Park,Trapper Creek
-149.733,61.227,Centennial Camper Park,Anchorage
-146.373,64.903,Chena River State Rec Area,Fairbanks
-147.81,64.84,Chena River State Rec Site,Fairbanks
-144.763,60.661,Childs Glacier Recreation Area,
-135.363,59.148,Chilkat State Park,Haines
-135.559,59.334,Chilkoot Lake State Rec Area,Haines
-151.387,60.233,Clam Gulch State Rec Area,Clam Gulch
-145.442,64.055,Clearwater State Rec Area,Delta Junction
-149.533,60.85,Coeur Dalene,Hope
-149.888,60.484,Cooper Creek Trailhead,Cooper Landing
-149.688,60.499,Crescent Creek,Cooper Landing
-146.694,65.274,Cripple Creek - Steese Hwy,Fairbanks
-151.688,60.027,Deep Creek State Rec Area,Ninilchik
-145.733,64.06,Delta State Rec Area,Delta Junction
-150.17,62.737,Denali Viewpoint - Denali State Park,Talkeetna
-151.016,60.804,Discovery State Rec Area,Kenai
-150.799,60.702,Dolly Varden Lake,Kenai
-145.883,63.677,Donnelly Creek State Rec Area,Delta Junction
-145.478,62.146,Dry Creek State Rec Area,Glennallen
-135.359,59.483,Dyea - Klondike National Historical Park,Skagway
-141.238,64.774,Eagle - Taylor Hwy,Eagle
-149.57,61.307,Eagle River - Chugach State Park,Eagle River
-143.195,63.165,Eagle Trail State Rec Area,Tok
-132.852,55.707,Eagles Nest,
-149.148,61.409,Eklunta - Chugach State Park,Chugiak
-149.274,61.61,Finger Lake State Rec Area,Wasilla
-149.816,65.918,Five Mile - Dalton Hwy,
-152.36,57.831,Fort Abercrombie State Park,Kodiak
-149.46,68.5,Galbraith Lake - Dalton Hwy,
-149.292,60.725,Granite Creek,Moose Pass
-146.882,64.438,Harding Lake State Rec Area,Salcha
-132.862,55.467,Harris River,Klawock
-150.204,60.466,Hidden Lake  - Kenai Wildlife Refuge,Cooper Landing
-150.755,60.536,Izaak Walton State Rec Area,Sterling
-151.269,60.293,Johnson Lake State Rec Area,Kasilof
-148.495,61.776,King Mountain State Rec Area,Chickaloon
-146.551,62.28,Lake Louise State Rec Area,Glennallen
-131.684,55.445,Last Chance,Ketchikan
-146.951,61.987,Little Nelchina State Rec Area,Glennallen
-150.322,60.462,Lower Ohmer Lake,Cooper Landing
-150.461,60.473,Lower Skilak Lake,Cooper Landing
-150.163,67.318,Marion Creek - Dalton Hwy,
-147.795,61.798,Matanuska Glacier State Rec Area,Sutton
-134.587,58.411,Mendenhall Lake,Juneau
-143.543,63.374,Moon Lake State Rec Area,Tanacross
-150.863,60.5,Morgans Landing State Rec Area,Sterling
-136.026,59.453,Mosquito Lake State Rec Area,Haines
-146.621,65.356,Mount Prindle - Steese Hwy,
-150.027,61.708,Nancy Lake State Rec Area,Sutton
-151.668,60.051,Ninilchik State Rec Area,Ninilchik
-132.741,56.58,Ohmer Creek,Petersburg
-147.088,65.37,Ophir Creek - Steese Hwy,
-145.535,62.868,Paxson Lake,Gakona
-143.868,62.729,Porcupine Creek State Rec Area,Slana
-149.664,60.931,Porcupine Trailhead,Hope
-149.369,60.341,Primrose Trailhead,Seward
-149.362,60.407,Ptarmigan Creek Trailhead,Seward
-149.728,60.479,Quartz Creek,Cooper Landing
-145.827,64.198,Quartz Lake State Rec Area,Delta Junction
-148.894,63.73,Riley Creek - Denali National Park,
-149.822,61.558,Rocky Lake State Rec Area,Wasilla
-149.974,60.484,Russian River Complex,Cooper Landing
-146.937,64.469,Salcha River State Rec Area,Salcha
-149.294,63.74,Savage River - Denali National Park,
-135.207,57.062,Sawmill Creek,Sitka
-131.726,55.511,Settlers Cove State Rec Area,Ketchikan
-131.698,55.409,Signal Creek,Ketchikan
-145.52,62.528,Sourdough Creek,Gakona
-145.174,61.665,Squirrel Creek State Rec Area,Copper Center
-151.812,59.843,Stariski State Rec Area,Anchor Point
-135.369,57.133,Starrigavan,Sitka
-146.012,63.052,Tangle Lakes,
-149.576,63.671,Teklanika  River - Denali National Park,Healy
-149.497,60.636,Tenderfoot Creek,Moose Pass
-149.557,60.531,Tern Lake,Moose Pass
-142.839,63.325,Tok River State Rec Area,Tok
-149.381,60.416,Trail River,Moose Pass
-147.257,65.192,Upper Chatanika River State Rec Area,Fairbanks
-150.319,60.438,Upper Skilak,Cooper Landing
-146.214,61.138,Valdez Glacier,Valdez
-141.633,64.077,Walker Fork - Taylor Hwy,Chicken
-142.229,63.886,West Fork - Taylor Hwy,
-147.73,65.087,Whitefish - Lower Chatanika State Rec Area,Fairbanks
-148.88,60.786,Williwaw,Girdwood
-150.058,61.753,Willow Creek State Rec Area,Willow
-124.23,40.269,A.W. Way County Park,Ferndale
-122.771,40.786,Ackerman,Lewiston
-120.798,38.177,Acorn - New Hogan Lake,Valley Springs
-120.52,37.978,Acorn - Tuttletown Area - New Melones Lake,Sonora
-117.408,34.576,Adelanto City Park,Adelanto
-117.103,32.792,Admiral Baker Military - San Diego NS,San Diego
-119.112,37.804,Aerie Crag RV Camp,June Lake
-116.384,35.038,Afton Canyon,Baker
-119.09,37.682,Agnew Meadows,Mammoth Lakes
-116.302,32.95,Agua Caliente,Ocotillo
-122.097,41.11,Ah - Di - Na,Castella
-120.406,39.146,Ahart,Foresthill
-123.647,40.226,Aikens Creek,
-120.38,38.985,Airport Flat,Pollock Pines
-118.108,36.595,Alabama Hills Rec Area,Lone Pine
-121.889,37.659,Alameda County Fairgrounds RV,Pleasanton
-124.009,40.353,Albee Creek State Park,Weott
-118.612,35.72,Alder Creek,Glennville
-121.495,40.21,Alder Creek,
-121.883,41.256,Algoma,Mccloud
-119.768,34.908,Aliso Park,
-121.177,40.217,Almanor,Chester
-120.121,39.323,Alpine Meadows,Truckee
-122.766,40.887,Alpine View,Trinity Center
-115.781,34.557,Amboy Crater,Amboy
-120.266,35.284,American Canyon,San Luis Obisp
-121.833,36.283,Andrew Molera State Park,Big Sur
-118.177,34.726,Antelope Valley Fairgrounds RV Park,Lancaster
-122.105,37.759,Anthony Chabot Regional Park,Oakland
-122.381,40.886,Antlers,Lakehead
-117.717,34.389,Appletree,Big Pines
-117.493,34.26,Applewhite,Lytle Creek
-122.119,40.765,Arbuckle Flat,Bella Vista
-121.483,36.235,Arroyo Seco,Greenfield
-122.06,41.117,Ash Camp,Castella
-120.828,41.161,Ash Creek,Adin
-119.188,37.939,Aspen,Lee Vining
-120.772,40.556,Aspen Grove,Susanville
-118.668,36.464,Atwell Mill - Sequoia National Park,Grant Grove
-123.011,38.566,Austin Creek State Rec Area,Guerneville
-118.457,35.652,Auxiliary Dam,Lake Isabella
-118.966,36.742,Azalea - Sequoia and Kings Canyon National Park,Grant Grove
-119.116,37.269,Badger Flat,Lakeshore
-120.136,37.61,Bagby Rec Area,Coulterville
-123.4,40.341,Bailey Canyon,Mad River
-122.319,40.8,Bailey Cove,Lakehead
-119.752,38.324,Baker,Mi-Wuk
-118.308,37.169,Baker Creek,Big Pine
-118.675,36.223,Balch Park,Springville
-118.888,37.79,Bald Mountain Springs,
-119.444,34.883,Ballinger,Maricopa
-120.141,34.9,Barrel Springs,Santa Maria
-120.288,37.642,Barrett Cove Rec Area,La Grange
-116.874,34.171,Barton Flats,Angelus Oaks
-121.063,37.031,Basalt State Rec Area - San Luis Reservoir,Gustine
-122.959,40.352,Basin Gulch,Platina
-119.907,34.955,Bates Canyon,Santa Maria
-121.627,40.348,Battle Creek,Mineral
-120.099,38.945,Bayview,South Lake Tahoe
-121.385,39.13,Beale AFB Military,Beale Afb
-121.172,38.719,Beals Point - Folsom Lake State Rec Area,Folsom
-123.612,41.444,Beans Camp,
-118.631,34.713,Bear,Lake Hughes
-122.837,39.322,Bear Creek,Upper Lake
-120.989,39.084,Bear River County Park,Colfax
-120.235,39.557,Bear Valley,Sierraville
-120.075,38.21,Beardsley Dam,
-122.829,41.927,Beaver Creek,Klamath River
-122.405,40.848,Beehive Point,Lakehead
-118.6,36.142,Belknap,Springville
-116.02,34.002,Belle - Joshua Tree National Park,
-123.785,40.061,Benbow Lake State Rec Area,Garberville
-121.269,40.395,Benner Creek,Chester
-120.643,39.628,Berger Creek,
-121.946,39.718,Bidwell - Sacramento River State Park,Chico
-121.459,39.533,Bidwell Canyon - Lake Oroville State Rec Area,Oroville
-123.252,40.738,Big Bar,Big Bar
-122.221,37.169,Big Basin Redwoods State Park,Boulder Creek
-116.879,34.235,Big Bear Military,Big Bear
-119.202,37.945,Big Bend,Lee Vining
-120.52,39.307,Big Bend - Soda Springs,Soda Springs
-120.174,39.902,Big Cove Family,Chilcoot
-123.203,40.739,Big Flat,Junction City
-123.908,41.688,Big Flat,Crescent City
-124.131,41.164,Big Lagoon County Park,Trinidad
-120.106,38.417,Big Meadow,Arnold
-118.82,36.721,Big Meadow,
-118.714,37.511,Big Meadows,Mammoth Lakes
-120.425,39.075,Big Meadows,Foresthill
-120.538,38.004,Big Oak - Glory Hole Area - New Melones Lake,Angels Camp
-118.433,37.126,Big Pine,Big Pine
-121.466,40.634,Big Pine,Old Station
-117.012,34.32,Big Pine Flat,Big Bear Lake
-118.289,37.173,Big Pine Triangle Park,Big Pine
-120.754,39.144,Big Reservoir,Foresthill
-117.777,34.388,Big Rock,Pearblossom
-120.628,41.579,Big Sage,Alturas
-119.582,37.468,Big Sandy,Oakhurst
-123.497,40.665,Big Slide,Hyampom
-118.94,37.749,Big Springs,Mammoth Lakes
-118.578,37.265,Big Trees,Bishop
-119.227,37.238,Billy Creek - Lower,Lakeshore
-119.227,37.239,Billy Creek - Upper,Lakeshore
-120.332,40.546,Biscar Reservoir,Susanville
-118.597,37.244,Bishop Park,Bishop
-118.558,37.287,Bitterbrush,Bishop
-121.712,40.184,Black Rock,
-119.026,36.921,Black Rock - Trimmer,Shaver Lake
-116.388,34.076,Black Rock Canyon - Joshua Tree National Park,Yucca Valley
-121.01,39.73,Black Rock Tent(Family ),La Porte
-121.57,41.557,Blanche Lake,
-119.811,38.524,Bloomfield 2,Arnold
-119.824,38.538,Bloomfield I,Arnold
-117.45,33.653,Blue Jay,Lake Elsinore
-120.28,41.143,Blue Lake,Likely
-120.463,37.664,Blue Oaks,Modesto
-122.509,39.07,Blue Oaks,Williams
-120.433,37.705,Blue Oaks - Don Pedro Rec Area,La Grange
-118.758,34.53,Blue Point,Castaic
-117.688,34.36,Blue Ridge,Wrightwood
-117.562,33.374,Bluffs - San Onofre State Beach,San Clemente
-120.234,38.301,Boards Crossing,
-116.556,32.713,Bobcat Meadow,Pine Valley
-120.104,39.395,Boca,Truckee
-120.086,39.42,Boca Rest,Truckee
-120.075,39.429,Boca Springs,Truckee
-123.054,38.341,Bodega Dunes - Sonoma Coast State Park,Bodega Bay
-121.098,40.575,Bogard,Susanville
-116.953,33.982,Bogart Park,Cherry Valley
-117.794,34.086,Bohelli Regional Park,San Dimas
-123.658,40.945,Boise Creek,Willow Creek
-118.044,33.692,Bolsa Chica State Beach,Huntington Beach
-115.739,33.351,Bombay Beach  - Salton Sea State Rec Area,Niland
-119.452,38.424,Bootleg,Coleville
-116.406,33.269,Borrego Palm Canyon  - Anza Borrego Desert State Park,Borrego Springs
-122.535,38.546,Bothe - Napa Valley State Park,Calistoga
-121.813,36.354,Bottchers Gap,Carmel
-119.169,37.93,Boulder,Lee Vining
-116.756,33.826,Boulder Basin,Idyllwild
-120.618,40.195,Boulder Creek,Taylorsville
-119.861,38.355,Boulder Flat, Mi-Wuk
-118.469,35.673,Boulder Gulch,Lake Isabella
-116.483,32.729,Boulder Oaks,Pine Valley
-116.225,32.842,Bow Willow - Anza Borrego State Park,Borrego Spring
-115.977,33.587,Box Canyon Dispersed,Mecca
-123.394,40.314,Boy Scout Cove - Ruth Lake,Mad River
-120.089,39.438,Boyington Mill,Truckee
-117.923,34.823,Branch Park - Edwards AFB,Lancaster
-122.576,40.618,Brandy Creek RV,Redding
-121.694,38.111,Brannan Island State Rec Area,Rio Vista
-118.584,35.469,Breckenridge,Caliente
-119.241,37.038,Bretz,Shaver Lake
-119.624,37.663,Bridalveil Creek - Yosemite National Park,
-121.437,40.73,Bridge,Old Station
-122.915,40.873,Bridge Camp,Weaverville
-123.113,41.65,Bridge Flat,Ft. Jones
-119.849,38.353,Brightman,Mi-Wuk
-118.537,35.103,Brite Lake,Tehachapi
-118.396,37.346,Browns Town,Bishop
-118.396,37.346,Browns Town CG (Concession),Bishop
-119.06,37.009,Buck Meadow,Shaver Lake
-118.854,36.722,Buck Rock,
-119.348,38.237,Buckeye,Bridgeport
-118.764,36.521,Buckeye Flat - Sequoia National Park,Three Rivers
-117.913,34.346,Buckhorn,La Canada
-122.362,39.811,Buckhorn Rec Area,Orland
-119.261,35.229,Buena Vista Aquatic Rec Area,Bakersfield
-121.13,39.452,Bullards Lakeshore,Camptonville
-121.573,41.554,Bullseye Lake,McCloud
-123.909,40.309,Burlington - Humboldt Redwoods State Park,Weott
-123.482,40.828,Burnt Ranch,
-116.421,32.861,Burnt Rancheria,Pine Valley
-123.166,39.23,Bushay,Ukiah
-122.817,40.854,Bushytail,Trinity Center
-122.326,37.232,Butano State Park,Pescadero
-121.297,40.611,Butte Creek,
-121.304,40.564,Butte Lake - Lassen Volcanic National Park,Old Station
-121.559,40.078,Butte Meadows,Chester
-114.892,32.725,ButtercupÂ Â OHV,Winterhaven
-119.23,34.869,Caballo,Maricopa
-117.7,34.333,Cabin Flat,Big Pines
-122.319,38.916,Cache Creek Canyon County Park,Woodland
-119.913,34.698,Cachuma,Santa Ynez
-121.434,38.595,Cal Expo RV Park,Sacramento
-120.988,39.521,Cal Ida,Camptonville
-120.288,38.272,Calaveras Big Trees State Park,Arnold
-116.867,34.941,Calico Ghost Town Regional Park,Yermo
-122.696,38.83,Calso - Boggs Mountain Demo Forest,
-120.414,38.88,Camino Cove,Pollock Pines
-118.454,35.81,Camp 3,Kernville
-119.111,36.858,Camp 4 - Yosemite National Park,Fresno
-119.123,36.861,Camp 4 1/2,Fresno
-118.436,35.695,Camp 9,Kernville
-119.26,34.426,Camp Comfort,Ojai
-119.306,37.122,Camp Edison,Shaver Lake
-118.991,37.639,Camp High Sierra,Mammoth Lakes
-121.891,37.707,Camp Parks Military,Dublin
-120.043,38.936,Camp Richardson Complex,South Lake Tahoe
-120.719,35.777,Camp Roberts Military,San Miguel
-120.738,35.323,Camp San Luis Obispo RV Military,San Luis Obispo
-120.065,38.934,Camp Shelley,South Lake Tah
-119.975,38.942,Campground by the Lake,South Lake Tahoe
-119.204,34.833,Campo Alto,Pine Mountain
-120.58,39.438,Canyon Creek,
-118.666,36.788,Canyon View - Sequoia and Kings Canyon National Park,Cedar Grove
-120.054,38.706,Caples Lake,Kit Carson
-120.406,38.651,Capps Crossing,Pollock Pines
-121,39.52,Carlton Flat,Downieville
-121.529,37.628,Carnegie State Vehicle Rec Area,Tracy
-119.521,34.392,Carpinteria State Beach,Carpinteria
-120.64,39.401,Carr Lake,Nevada City
-119.97,38.28,Cascade Creek,Mi-Wuk
-117.557,33.54,Caspers Wilderness County Park,San Juan Capistrano
-117.557,33.54,Caspers Wilderness Park,Trabuco Canyon
-117.557,33.54,Caspers Wilderness Park,San Juan Capis
-118.606,34.506,Castaic Lake,Santa Clarita
-122.318,41.15,Castle Crags State Park,Castella
-122.379,41.236,Castle Lake,Mt.Shasta
-121.183,37.7,Caswell Memorial State Park,Ripon
-119.182,37.251,Catavee,Lakeshore
-121.94,41.259,Cattle Camp,McCloud
-119.144,37.935,Cattleguard,Lee Vining
-121.423,40.685,Cave,Old Station
-120.204,41.979,Cave Lake,New Pine Creek
-122.699,39.264,Cedar Camp,Stonyford
-118.582,35.749,Cedar Creek,Wofford Heights
-120.294,41.56,Cedar Pass,Cedarville
-115.176,32.975,Cement Flats - Imperial Sand Dunes OHV,Brawley
-119.72,38.632,Centerville Flat,
-120.741,35.424,Cerro Alto,Atascadero
-120.516,37.982,Chamise - Tuttletown Area - New Melones Lake,Columbia
-119.221,34.162,Channel Islands Coast Guard Military,Oxnard
-122.288,38.625,Chaparral Cove - Lake Berryessa - USBR,Napa
-120.543,39.631,Chapman Creek,Sierra City
-123.184,39.206,Chekaka,Ukiah
-121.497,40.103,Cherry Hill,Chester
-119.915,37.987,Cherry Valley,Groveland
-118.462,35.824,Chico Flat,Kernville
-118.016,34.321,Chilao,La Canada
-120.166,39.866,Chilcoot Family .,Chilcoot
-119.539,37.37,Chilkoot,Oakhurst
-120.538,38.734,Chimney  - Sly Park Recreation Area,Pollock Pines
-118.043,35.839,Chimney Creek,Inyokern
-122.48,38.002,China Camp State Park,San Rafael
-120.268,38.754,China Flat,Kyburz
-117.824,33.92,Chino Hills - State Park,Chino Hills
-119.363,36.822,Choinumni,Piedra
-119.456,38.394,Chris Flat,Walker
-120.836,40.568,Christie,Susanville
-119.001,34.785,Chuchupate,Frazier Park
-119.123,34.813,Chula Vista,Frazier Park
-116.447,32.777,Cibbets Flat,Pine Valley
-124.115,41,Clam Beach County Park,Arcata
-119.8,38.396,Clark Fork,Mi-Wuk
-122.812,40.857,Clark Springs,Trinity Center
